Date,Cumulative,Cases
26 Jul 2014,1,1
27 Jul 2014,1,0
28 Jul 2014,1,0
29 Jul 2014,1,0
30 Jul 2014,1,0
31 Jul 2014,1,0
01 Aug 2014,1,0
02 Aug 2014,1,0
03 Aug 2014,3,2
04 Aug 2014,4,1
05 Aug 2014,4,0
06 Aug 2014,4,0
07 Aug 2014,6,2
08 Aug 2014,6,0
09 Aug 2014,6,0
10 Aug 2014,7,1
11 Aug 2014,10,3
12 Aug 2014,11,1
13 Aug 2014,16,5
14 Aug 2014,19,3
15 Aug 2014,21,2
16 Aug 2014,23,2
17 Aug 2014,25,2
18 Aug 2014,28,3
19 Aug 2014,30,2
20 Aug 2014,35,5
21 Aug 2014,36,1
22 Aug 2014,38,2
23 Aug 2014,40,2
24 Aug 2014,42,2
25 Aug 2014,43,1
26 Aug 2014,46,3
27 Aug 2014,46,0
28 Aug 2014,46,0
29 Aug 2014,47,1
30 Aug 2014,48,1
31 Aug 2014,49,1
01 Sep 2014,49,0
02 Sep 2014,50,1
03 Sep 2014,51,1
04 Sep 2014,54,3
05 Sep 2014,56,2
06 Sep 2014,58,2
07 Sep 2014,58,0
08 Sep 2014,59,1
09 Sep 2014,60,1
10 Sep 2014,60,0
11 Sep 2014,61,1
12 Sep 2014,62,1
13 Sep 2014,63,1
14 Sep 2014,64,1
15 Sep 2014,64,0
16 Sep 2014,64,0
17 Sep 2014,64,0
18 Sep 2014,65,1
19 Sep 2014,66,1
20 Sep 2014,67,1
21 Sep 2014,67,0
22 Sep 2014,67,0
23 Sep 2014,67,0
24 Sep 2014,68,1
25 Sep 2014,68,0
26 Sep 2014,68,0
27 Sep 2014,68,0
28 Sep 2014,68,0
29 Sep 2014,68,0
30 Sep 2014,68,0
01 Oct 2014,68,0
02 Oct 2014,68,0
03 Oct 2014,68,0
04 Oct 2014,69,1
05 Oct 2014,69,0
06 Oct 2014,69,0
07 Oct 2014,69,0
08 Oct 2014,69,0
09 Oct 2014,69,0
10 Oct 2014,69,0
11 Oct 2014,69,0
12 Oct 2014,69,0
13 Oct 2014,69,0
14 Oct 2014,69,0
15 Oct 2014,69,0
16 Oct 2014,69,0
17 Oct 2014,69,0
18 Oct 2014,69,0
19 Oct 2014,69,0
20 Oct 2014,69,0
21 Oct 2014,69,0
22 Oct 2014,69,0
23 Oct 2014,69,0
24 Oct 2014,69,0
25 Oct 2014,69,0
26 Oct 2014,69,0
27 Oct 2014,69,0
28 Oct 2014,69,0
29 Oct 2014,69,0
30 Oct 2014,69,0
31 Oct 2014,69,0
01 Nov 2014,69,0
02 Nov 2014,69,0
03 Nov 2014,69,0
04 Nov 2014,69,0
05 Nov 2014,69,0
06 Nov 2014,69,0
07 Nov 2014,69,0
08 Nov 2014,69,0
09 Nov 2014,69,0
10 Nov 2014,69,0
11 Nov 2014,69,0
12 Nov 2014,69,0
13 Nov 2014,69,0
14 Nov 2014,69,0
15 Nov 2014,69,0
16 Nov 2014,69,0
17 Nov 2014,69,0
18 Nov 2014,69,0
19 Nov 2014,69,0
20 Nov 2014,69,0
